period,usa_Total,same_day,overnight,overseas_total,asia,europe,other,usa_total_%,same_day_%,same_day_%_filled,overnight_%,overnight_%_filled,overseas_total_%,asia_%,europe_%,other_%,bc_drinking_places,bc_food_services,ca_drinking_places,ca_food_services,bc_drinking_places_%,bc_food_services_%,ca_drinking_places_%,ca_food_services_%,air_vancouver_domestic,air_vancouver_trans_border,air_vancouver_other_int,victoria_total,bc_ferries_vehicles,bc_ferries_vehicles_filled,bc_ferries_passengers,bc_ferries_passengers_filled,air_vancouver_domestic_%,air_vancouver_domestic_%_filled,air_vancouver_trans_border_%,air_vancouver_trans_border_%_filled,air_vancouver_other_int_%,air_vancouver_other_int_%_filled,victoria_total_%,victoria_total_%_filled,bc_ferries_vehicles_%,bc_ferries_vehicles_%_filled,bc_ferries_passengers_%,bc_ferries_passengers_%_filled,employement_air_transport,employement_accomodation,employement_food_and_beverage,employement_art_entertainment_recreation,hotel_occupancy_rate,hotel_occupancy_rate_filled,hotel_room_rate,hotel_room_rate_filled,hotel_room_revenue,hotel_room_revenue_filled,cpi_traveller_accomodation,cpi_restaurant_meals,employement_air_transport_%,employement_accomodation_%,employement_food_and_beverage_%,employement_art_entertainment_recreation_%,hotel_occupancy_rate_%,hotel_occupancy_rate_%_filled,hotel_room_rate_%,hotel_room_rate_%_filled,hotel_room_revenue_%,hotel_room_revenue_%_filled,cpi_traveller_accomodation_%,cpi_restaurant_meals_%,month_num
2000-01-01,554667,267314,287353,111285,58339,34916,18029,-0.2332884863048723,,4.399825285685472,,-2.641910008463213,0.12235827582793846,-1.220792414493732,-8.159292966489563,28.12877549570039,63563.4437490708,429606.082147149,230123.0,2659854.0,-0.706286363891151,0.9407382660789665,-0.9708278286764349,0.4097395243488178,674.933221898007,327.400938201126,272.489416463235,91.8958662209112,638.25229155567,638.25229155567,1728.88398841443,1728.88398841443,2.3060512751471363,2.3060512751471363,-0.34483673742947696,-0.34483673742947696,-1.574096888859422,-1.574096888859422,0.7106629371528728,0.7106629371528728,-4.083303656346415,-4.083303656346415,-3.561178539342691,-3.561178539342691,14392.0,27620.2085665274,114703.518088406,26162.5861788578,,62.95850659139658,,151.24740624161873,,207397.72829167245,107.815396965745,92.9,-4.221181277737463,1.137268023864646,2.4529484682970226,0.6166571196449366,,-0.26294120039320185,,-0.30326209039712815,,-2.6013529357666685,-0.5989976567902455,0.03578380763429312,1
2000-02-01,572604,278682,293922,119248,64014,37682,17552,3.2338321912066093,4.252676627486784,4.252676627486784,2.28603842660422,2.28603842660422,7.155501639933504,9.727626459143979,7.921869629969058,-2.6457374230406616,63860.8977230456,426426.823055858,229892.0,2660594.0,0.46796390571450797,-0.7400405216335004,-0.10038110054187976,0.027821075893630365,681.799804893632,348.52165945618,302.345047862533,92.7192683891537,660.965480563235,660.965480563235,1763.49332420453,1763.49332420453,1.0173722040700772,1.0173722040700772,6.4510264909745985,6.4510264909745985,10.956620549453987,10.956620549453987,0.8960165479729998,0.8960165479729998,3.5586537342786606,3.5586537342786606,2.0018310090222036,2.0018310090222036,14681.0,28041.3616550412,113586.337272669,26612.716828164,,63.85972718974474,,155.24751503660792,,215916.0546071806,109.871683443134,92.9,2.008060033351855,1.5248005368945439,-0.9739725810989919,1.7205128202117725,,1.66470190999607,,2.904129758283418,,8.797786303330264,1.907228962893237,0.0,2
2000-03-01,588057,281438,306619,124123,65640,39650,18833,2.6987237252970697,0.9889407999081445,0.9889407999081445,4.319853566592502,4.319853566592502,4.088118878304048,2.540069359827535,5.222652725439203,7.2983135824977285,64778.2042503522,438319.349108424,234182.0,2713766.0,1.4364134548888075,2.788878515507487,1.8660936439719444,1.998501086599469,680.77061503352,346.360190568605,294.599503397432,93.3243594855768,657.119915956077,657.119915956077,1777.16999128794,1777.16999128794,-0.1509519147299465,-0.1509519147299465,-0.6201820830727289,-0.6201820830727289,-2.5618228311854785,-2.5618228311854785,0.6526055553884191,0.6526055553884191,-0.5818102034437667,-0.5818102034437667,0.7755440236542732,0.7755440236542732,14782.0,28022.1972655394,114653.462598429,26309.2149654191,,62.66757190158017,,151.46051549476476,,228327.73287572217,109.695475595407,93.1,0.6879640351474592,-0.06834329137636042,0.9394838775356629,-1.1404392295028876,,-1.2616176591232076,,-1.678224957435229,,11.30405204834334,-0.16037603339189577,0.21528525296015122,3
2000-04-01,594474,285933,308541,128834,67765,41794,19275,1.0912207490090253,1.597154613094176,1.597154613094176,0.6268365626396211,0.6268365626396211,3.79542872795533,3.237355271176101,5.407313997477936,2.346944193702538,63372.6137932951,433582.056824346,230694.0,2695491.0,-2.1698509140896105,-1.0807855719155435,-1.4894398373914264,-0.6734184155892553,707.963240514818,350.82476277567,311.03501326122,96.3917087716187,669.050911752121,669.050911752121,1815.25545019931,1815.25545019931,3.9943888412338646,3.9943888412338646,1.2889969253498057,1.2889969253498057,5.578933322781454,5.578933322781454,3.286761680390571,3.286761680390571,1.8156497020311857,1.8156497020311857,2.1430397259729173,2.1430397259729173,15354.0,27730.3185334423,115487.379055806,26087.8773411882,,61.623222326834465,,149.89648449338688,,186355.31342976616,111.891535510288,93.2,3.8695710999864685,-1.0415983062685763,0.7273364785307601,-0.8412931534514723,,-2.7315302750887738,,-0.9587793469836022,,-12.889289932577858,2.001960338802644,0.10741138560688146,4
2000-05-01,598617,291334,307283,126415,65496,42903,18015,0.6969186204947464,1.8889040439543425,1.8889040439543425,-0.40772539143906217,-0.40772539143906217,-1.877609947684622,-3.34833616173541,2.6534909317126765,-6.536964980544746,64188.4124029163,438316.513900342,237908.0,2730585.0,1.2873046585740067,1.091940268624625,3.1270860967341996,1.3019520376807092,686.103098214297,342.050070949159,308.049198481055,95.6443636698033,653.187718332026,653.187718332026,1760.843331795,1760.843331795,-3.087751036992359,-3.087751036992359,-2.5011609092491116,-2.5011609092491116,-0.9599609860184488,-0.9599609860184488,-0.7753209392584615,-0.7753209392584615,-2.370999447344335,-2.370999447344335,-2.9974909811363304,-2.9974909811363304,14803.0,27399.3513788182,117502.417311565,25869.3266303736,,61.02465275780711,,146.18998810213242,,186675.14556742823,112.431059518605,93.6,-3.588641396378789,-1.1935209262921354,1.744812526038264,-0.8377481538888731,,0.24529910534272403,,0.1255261532568062,,2.8858280419289506,0.4821848282414498,0.42918454935620964,5
2000-06-01,576278,282891,293387,129796,67104,44191,18501,-3.731768392812096,-2.898048288219024,-2.898048288219024,-4.522215677404873,-4.522215677404873,2.67452438397342,2.455111762550377,3.0021210637950713,2.6977518734387917,65644.74911924,438423.642177114,239388.0,2750282.0,2.268846761907972,0.024440848878515276,0.622089210955501,0.7213472570895885,695.428946527044,340.367066643712,311.054819068332,94.0035994467823,648.171862352542,648.171862352542,1754.58015866165,1754.58015866165,1.3592488267461844,1.3592488267461844,-0.49203448511991876,-0.49203448511991876,0.9756949870661114,0.9756949870661114,-1.7154844886474119,-1.7154844886474119,-0.767904208654191,-0.767904208654191,-0.35569167456626083,-0.35569167456626083,13970.0,27835.9744253724,116700.450902721,25590.4519550612,,61.582217212295326,,147.00533796004459,,220188.6396798035,111.771244080805,93.9,-5.6272377220833665,1.5935524915080324,-0.6825105620742566,-1.078012888766,,2.24782441587553,,0.4488560045195567,,34.55748878451705,-0.5868622430715509,0.3205128205128416,6
2000-07-01,580184,287083,293101,127607,65885,43745,17979,0.6777978683899066,1.4818428299238962,1.4818428299238962,-0.09748216519477326,-0.09748216519477326,-1.686492650004623,-1.8165832141154081,-1.009255278224075,-2.821469109777852,66873.8025144997,448654.341891386,239557.0,2798785.0,1.8722798270234486,2.3335191650406095,0.07059668822162468,1.7635646090109924,701.674880998424,333.310687512675,305.525033105928,92.7879370281025,658.969499127651,658.969499127651,1790.07088904609,1790.07088904609,0.8981412842493874,0.8981412842493874,-2.073167419109756,-2.073167419109756,-1.777752866509752,-1.777752866509752,-1.293208372694299,-1.293208372694299,1.665860152571108,1.665860152571108,2.0227477330822863,2.0227477330822863,14336.0,27939.8676183344,117611.377032691,25562.1951408976,,62.791163962397,,149.24326256844924,,208855.16206746668,113.325794470514,94.1,2.6198997852541206,0.3732335407928167,0.7805677895189378,-0.11041936349237558,,3.473011994474177,,1.6584954502967897,,0.3259457629479952,1.3908321433598214,0.21299254526090383,7
2000-08-01,576668,283706,292962,117291,58130,42030,17130,-0.6060146436302927,-1.1763148636457,-1.1763148636457,-0.04742392554102359,-0.04742392554102359,-8.084196008055988,-11.770509220611668,-3.9204480512058493,-4.722175871850487,68105.0760149472,438452.071132838,240675.0,2769156.0,1.8411896051230947,-2.2739712526883005,0.4666947741038596,-1.0586379446795635,693.799801688073,324.75031152728,296.237927577304,91.8858424657624,658.960242238488,658.960242238488,1772.71186492535,1772.71186492535,-1.1223259551696452,-1.1223259551696452,-2.5682872785378175,-2.5682872785378175,-3.039719997478596,-3.039719997478596,-0.9722110343577284,-0.9722110343577284,-0.0014047522950977331,-0.0014047522950977331,-0.969739479423104,-0.969739479423104,14461.0,27954.5035354804,117474.147875207,25385.9963571768,,63.02978862485253,,149.7185467366852,,213237.92249775917,113.011830033738,94.0,0.871930803571419,0.05238363096751186,-0.11668017240020756,-0.6892944160296066,,0.7920455488462599,,0.3724004153386024,,3.0914446801245665,-0.27704587313323037,-0.10626992561104665,8
2000-09-01,588160,282757,305403,125913,60282,47926,17705,1.9928277622479396,-0.33450120899805036,-0.33450120899805036,4.2466258422594105,4.2466258422594105,7.350947643041672,3.7020471357302576,14.028075184392108,3.356684179801528,68746.16661264,451309.539911033,240954.0,2850638.0,0.9413257207907533,2.932468478247774,0.11592396385167181,2.942485002650619,711.385289176211,340.875078109386,308.690876854004,94.3505165535098,660.028878514716,660.028878514716,1790.29953141573,1790.29953141573,2.5346630894605315,2.5346630894605315,4.965281328375704,4.965281328375704,4.203698486059104,4.203698486059104,2.6823219133739418,2.6823219133739418,0.16217006850030025,0.16217006850030025,0.9921333995877912,0.9921333995877912,14581.0,28051.1950587558,118268.459240341,25628.1974023993,,63.17193256630594,,150.41867104663893,,233541.93119840111,114.848673081056,94.0,0.8298181315261832,0.3458888946200611,0.676158439538388,0.9540734262101447,,0.14669839887811778,,0.3752489343169463,,7.678693185131262,1.625354661339129,0.0,9
2000-10-01,588899,288566,300333,120845,57968,44299,18577,0.1256460826985828,2.054414214325373,2.054414214325373,-1.6601015707114808,-1.6601015707114808,-4.025001389848548,-3.838625128562423,-7.56791720569211,4.9251623835074865,67935.8517015175,452855.064973921,239376.0,2842592.0,-1.1787055934163182,0.34245344408023737,-0.6548967852785137,-0.2822526045046736,708.527863422928,327.091908876315,305.964285406719,97.6987988733321,662.229873782434,662.229873782434,1778.59204262205,1778.59204262205,-0.4016706272619075,-0.4016706272619075,-4.043466395231155,-4.043466395231155,-0.8832756818318743,-0.8832756818318743,3.5487694631998634,3.5487694631998634,0.3334695404041854,0.3334695404041854,-0.6539402255454907,-0.6539402255454907,14642.0,28528.1600960149,119258.85870629,27298.6102061814,,63.347292197546636,,150.5821088758206,,202018.25290407345,115.539128665883,94.3,0.418352650709819,1.7003376728159214,0.8374163934412593,6.517870834043604,,0.24311471684294964,,0.2927294733158378,,-10.152996300061753,0.6011872547623476,0.31914893617019935,10
